model,repeat,TN,FP,FN,TP,accuracy,specificity,degraded_recall,degraded_precision
Logistic Regression,,74,6,2,18,0.92,0.925,0.9,0.75
SVM-RBF,,75,5,3,17,0.92,0.9375,0.85,0.772727
Random Forest,,76,4,3,17,0.93,0.95,0.85,0.809524
Retrieval-only memory,,68,12,2,18,0.86,0.85,0.9,0.6
Prototype verifier,,73,7,2,18,0.91,0.9125,0.9,0.72
LLM raw diagnosis,0.0,42,38,3,17,0.59,0.525,0.85,0.309091
LLM raw diagnosis,1.0,47,33,4,16,0.63,0.5875,0.8,0.326531
LLM raw diagnosis,2.0,46,34,3,17,0.63,0.575,0.85,0.333333
LLM raw diagnosis,3.0,43,37,2,18,0.61,0.5375,0.9,0.327273
LLM raw diagnosis,4.0,45,35,2,18,0.63,0.5625,0.9,0.339623
