dataset,repeat,variant,n_instances,accuracy,macro_f1,mean_agreement,mean_grounded_rate,mean_unsupported_rate,parse_success_rate,mean_latency_s,conflict_rate,coverage,selective_accuracy,error_capture_rate,false_escalation_rate
nasa_fd001,0,A1_single,36,0.2222222222222222,0.19999999999999998,1.0,1.0,0.0,1.0,3.329753097166607,,,,,
nasa_fd001,0,A2_multi,36,0.2222222222222222,0.19999999999999998,0.9833333333333333,1.0,0.0,1.0,3.3059287311388292,,,,,
nasa_fd001,0,A3_multi_verify,36,0.2222222222222222,0.19999999999999998,0.9833333333333333,1.0,0.0,1.0,3.3059287311388292,0.7222222222222222,0.2777777777777778,0.8,0.9285714285714286,0.0
nasa_fd001,0,A4_full,36,0.6944444444444444,0.6629787234042553,0.8833333333333334,0.9972222222222223,0.002777777777777778,1.0,3.456498066238934,0.25,0.75,0.9259259259259259,0.8181818181818182,0.0
nasa_fd001,1,A1_single,36,0.25,0.23524783634933125,1.0,1.0,0.0,1.0,3.104319246527666,,,,,
nasa_fd001,1,A2_multi,36,0.2222222222222222,0.19999999999999998,0.9833333333333333,1.0,0.0,1.0,3.39788021626665,,,,,
nasa_fd001,1,A3_multi_verify,36,0.2222222222222222,0.19999999999999998,0.9833333333333333,1.0,0.0,1.0,3.39788021626665,0.7222222222222222,0.2777777777777778,0.8,0.9285714285714286,0.0
nasa_fd001,1,A4_full,36,0.6388888888888888,0.6017021276595744,0.8833333333333333,0.9930555555555558,0.006944444444444444,1.0,3.4663973433110993,0.3055555555555556,0.6944444444444444,0.92,0.8461538461538461,0.0
nasa_fd001,2,A1_single,36,0.25,0.23524783634933125,1.0,1.0,0.0,1.0,3.434080132055644,,,,,
nasa_fd001,2,A2_multi,36,0.2222222222222222,0.19999999999999998,0.9833333333333333,1.0,0.0,1.0,3.275125780149948,,,,,
nasa_fd001,2,A3_multi_verify,36,0.2222222222222222,0.19999999999999998,0.9833333333333333,1.0,0.0,1.0,3.275125780149948,0.7222222222222222,0.2777777777777778,0.8,0.9285714285714286,0.0
nasa_fd001,2,A4_full,36,0.6388888888888888,0.6017021276595744,0.8888888888888888,0.9986111111111112,0.001388888888888889,1.0,3.2898863148833297,0.3055555555555556,0.6944444444444444,0.92,0.8461538461538461,0.0
synthetic,0,A1_single,36,0.4166666666666667,0.32571428571428573,1.0,0.9513888888888888,0.04861111111111111,1.0,3.2847154569445696,,,,,
synthetic,0,A2_multi,36,0.3888888888888889,0.3151435927906516,0.9055555555555558,0.9476851851851852,0.052314814814814814,1.0,3.159607792727689,,,,,
synthetic,0,A3_multi_verify,36,0.3888888888888889,0.3151435927906516,0.9055555555555558,0.9476851851851852,0.052314814814814814,1.0,3.159607792727689,0.6944444444444444,0.3055555555555556,0.9090909090909091,0.9545454545454546,0.2857142857142857
synthetic,0,A4_full,36,1.0,1.0,1.0,0.9680555555555556,0.03194444444444444,1.0,3.0523433037722594,0.2777777777777778,0.7222222222222222,1.0,,0.2777777777777778
synthetic,1,A1_single,36,0.3888888888888889,0.2777777777777778,1.0,0.9513888888888888,0.04861111111111111,1.0,3.4241439712500323,,,,,
synthetic,1,A2_multi,36,0.3611111111111111,0.2889655172413793,0.9055555555555556,0.9504629629629631,0.04953703703703704,1.0,3.204027574144563,,,,,
synthetic,1,A3_multi_verify,36,0.3611111111111111,0.2889655172413793,0.9055555555555556,0.9504629629629631,0.04953703703703704,1.0,3.204027574144563,0.6944444444444444,0.3055555555555556,0.8181818181818182,0.9130434782608695,0.3076923076923077
synthetic,1,A4_full,36,1.0,1.0,1.0,0.9680555555555556,0.03194444444444444,1.0,3.196721705072317,0.2777777777777778,0.7222222222222222,1.0,,0.2777777777777778
synthetic,2,A1_single,36,0.4166666666666667,0.3252525252525253,1.0,0.9236111111111112,0.0763888888888889,1.0,3.0813444188054544,,,,,
synthetic,2,A2_multi,36,0.4166666666666667,0.338566701497736,0.9222222222222223,0.9527777777777777,0.04722222222222222,1.0,2.971933167411054,,,,,
synthetic,2,A3_multi_verify,36,0.4166666666666667,0.338566701497736,0.9222222222222223,0.9527777777777777,0.04722222222222222,1.0,2.971933167411054,0.6944444444444444,0.3055555555555556,0.9090909090909091,0.9523809523809523,0.3333333333333333
synthetic,2,A4_full,36,1.0,1.0,1.0,0.9680555555555556,0.03194444444444444,1.0,2.833702660149993,0.2777777777777778,0.7222222222222222,1.0,,0.2777777777777778
