dataset,model,scope,n,accuracy,macro_f1,macro_precision,macro_recall
synthetic,Logistic Regression,full_test,252,0.9722222222222222,0.9720006556049402,0.9724192277383767,0.9717948717948719
synthetic,Logistic Regression,llm_like_for_like,100,0.96,0.9593162393162393,0.9632352941176471,0.958421052631579
synthetic,SVM-RBF,full_test,252,0.9920634920634921,0.9919868238557559,0.992059748427673,0.9919871794871795
synthetic,SVM-RBF,llm_like_for_like,100,0.98,0.9796943162916236,0.9803827751196172,0.9794736842105263
synthetic,Random Forest,full_test,252,1.0,1.0,1.0,1.0
synthetic,Random Forest,llm_like_for_like,100,1.0,1.0,1.0,1.0
nasa_fd001,Logistic Regression,full_test,393,0.9338422391857506,0.9024255156608098,0.878763440860215,0.9343046194312017
nasa_fd001,Logistic Regression,llm_like_for_like,100,0.92,0.8834498834498834,0.861842105263158,0.9125000000000001
nasa_fd001,SVM-RBF,full_test,393,0.9287531806615776,0.8949197860962568,0.8717204301075269,0.9262288344566825
nasa_fd001,SVM-RBF,llm_like_for_like,100,0.92,0.8794454490657022,0.8671328671328671,0.89375
nasa_fd001,Random Forest,full_test,393,0.9338422391857506,0.8998313857736648,0.8834798287130945,0.9195709353937203
nasa_fd001,Random Forest,llm_like_for_like,100,0.93,0.8926215677251113,0.8857745629897529,0.8999999999999999
