dataset,repeat,n,accuracy,macro_f1,macro_precision,macro_recall,mean_agreement,sd_instance_agreement,mean_llm_label_support,mean_verifier_support,verifier_accuracy,mean_self_trust,verification_conflict_rate,automatic_coverage,selective_accuracy,llm_errors,errors_captured,error_capture_rate,false_escalations,false_escalation_rate,mean_parse_success_rate,total_failed_traces,mean_grounded_rate,mean_unsupported_rate,mean_latency_per_trace_s,total_input_tokens,total_output_tokens,cost_usd
nasa_fd001,0,100,0.59,0.5626666666666666,0.6212121212121212,0.6875,0.8739999999999999,0.15739033379377898,0.601451503760775,0.8159846715070419,0.91,0.7377257518803876,0.36,0.64,0.890625,41,34,0.8292682926829268,2,0.03389830508474576,1.0,0,0.9933333333333334,0.006666666666666667,3.456360607317991,516970,93729,0.3567544
nasa_fd001,1,100,0.63,0.5906626839252129,0.6240496198479392,0.6937500000000001,0.8799999999999999,0.1657550828021497,0.6217696668456432,0.8159846715070419,0.91,0.7508848334228216,0.32,0.68,0.8970588235294118,37,30,0.8108108108108109,2,0.031746031746031744,1.0,0,0.9938333333333332,0.006166666666666667,3.307121068468007,516970,93174,0.3558664
nasa_fd001,2,100,0.63,0.5960257670051315,0.6360544217687075,0.7124999999999999,0.866,0.1634353422950836,0.6225851031831744,0.8159846715070419,0.91,0.7442925515915871,0.32,0.68,0.8970588235294118,37,30,0.8108108108108109,2,0.031746031746031744,1.0,0,0.9958333333333332,0.004166666666666667,3.2568013442019947,516970,92902,0.35543120000000006
nasa_fd001,3,100,0.61,0.584,0.6414141414141414,0.71875,0.898,0.14905764595679694,0.5983782396083467,0.8159846715070419,0.91,0.7481891198041732,0.36,0.64,0.90625,39,33,0.8461538461538461,3,0.04918032786885246,1.0,0,0.9965,0.0034999999999999996,3.299995465261963,516970,93464,0.35633040000000005
nasa_fd001,4,100,0.63,0.6009060511271707,0.6485347250100362,0.73125,0.89,0.15142421513513932,0.6204342595263307,0.8159846715070419,0.91,0.7552171297631655,0.34,0.66,0.9090909090909091,37,31,0.8378378378378378,3,0.047619047619047616,1.0,0,0.9968333333333333,0.0031666666666666666,3.409961817209955,516970,92993,0.3555768000000001
synthetic,0,100,0.99,0.9902439024390244,0.9904761904761905,0.9904761904761905,0.998,0.019999999999999987,0.4513500109739473,0.4628095153086466,0.73,0.7246750054869738,0.27,0.73,1.0,1,1,1.0,26,0.26262626262626265,1.0,0,0.9830000000000001,0.016999999999999998,3.085884922400059,300095,89015,0.262462
synthetic,1,100,1.0,1.0,1.0,1.0,0.996,0.03999999999999999,0.4535136606522389,0.4628095153086466,0.73,0.7247568303261197,0.27,0.73,1.0,0,0,,27,0.27,1.0,0,0.9781666666666666,0.02183333333333333,3.1716621514840146,300095,89168,0.2627068
synthetic,2,100,1.0,1.0,1.0,1.0,0.998,0.019999999999999987,0.4535136606522389,0.4628095153086466,0.73,0.7257568303261196,0.27,0.73,1.0,0,0,,27,0.27,1.0,0,0.9834999999999999,0.0165,3.0661938340119237,300095,89255,0.262846
synthetic,3,100,1.0,1.0,1.0,1.0,0.998,0.019999999999999987,0.4535136606522389,0.4628095153086466,0.73,0.7257568303261196,0.27,0.73,1.0,0,0,,27,0.27,1.0,0,0.9825,0.0175,3.02808725941195,300095,89337,0.2629772
synthetic,4,100,1.0,1.0,1.0,1.0,0.998,0.019999999999999987,0.4535136606522389,0.4628095153086466,0.73,0.7257568303261196,0.27,0.73,1.0,0,0,,27,0.27,1.0,0,0.9828333333333333,0.017166666666666667,2.7535710642880953,300095,88689,0.2619404
