dataset,instance_id,repeat,trace_idx,diagnosis,rf_prediction,n_llm_evidence_features,llm_evidence_features,shap_top1_feature,n_overlap_top3,n_overlap_top5,any_overlap_top3,any_overlap_top5,llm_feature_fraction_in_shap_top3,llm_feature_fraction_in_shap_top5,shap_top1_used_by_llm,grounded_rate,unsupported_rate
nasa_fd001,u001_e0050,0,0,healthy,healthy,4,"[""s21_delta_mean"", ""s12_delta_mean"", ""s7_slope"", ""s3_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0050,0,1,healthy,healthy,4,"[""s21_delta_mean"", ""s12_delta_mean"", ""s2_delta_mean"", ""s7_delta_mean""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0050,0,2,healthy,healthy,4,"[""s21_delta_mean"", ""s21_slope"", ""s12_delta_mean"", ""s7_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0050,0,3,degraded,healthy,4,"[""s3_slope"", ""s8_delta_mean"", ""s14_z_last"", ""s21_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0050,0,4,healthy,healthy,4,"[""s21_delta_mean"", ""s12_delta_mean"", ""s7_slope"", ""s3_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0080,0,0,healthy,healthy,3,"[""s4_z_last"", ""s11_z_last"", ""s17_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0080,0,1,healthy,healthy,4,"[""s4_z_last"", ""s3_delta_mean"", ""s15_delta_mean"", ""s17_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0080,0,2,healthy,healthy,4,"[""s4_z_last"", ""s17_delta_mean"", ""s11_z_last"", ""s20_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0080,0,3,degraded,healthy,4,"[""s4_z_last"", ""s17_delta_mean"", ""s9_z_last"", ""s15_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0080,0,4,healthy,healthy,3,"[""s4_z_last"", ""s11_z_last"", ""s17_delta_mean""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0100,0,0,healthy,healthy,4,"[""s7_z_last"", ""s4_z_last"", ""s21_z_last"", ""s15_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0100,0,1,healthy,healthy,4,"[""s4_z_last"", ""s7_z_last"", ""s20_delta_mean"", ""s9_z_last""]",s11_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0100,0,2,healthy,healthy,4,"[""s4_z_last"", ""s7_z_last"", ""s21_z_last"", ""s15_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0100,0,3,healthy,healthy,4,"[""s7_z_last"", ""s20_slope"", ""s4_z_last"", ""s15_slope""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0100,0,4,degraded,healthy,4,"[""s2_delta_mean"", ""s9_z_last"", ""s15_slope"", ""s20_delta_mean""]",s11_slope,0,1,False,True,0.0,0.25,False,1.0,0.0
nasa_fd001,u001_e0140,0,0,degraded,healthy,4,"[""s2_delta_mean"", ""s13_slope"", ""s7_z_last"", ""s9_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0140,0,1,healthy,healthy,4,"[""s2_delta_mean"", ""s8_z_last"", ""s13_slope"", ""s7_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0140,0,2,healthy,healthy,4,"[""s2_z_last"", ""s8_z_last"", ""s7_z_last"", ""s13_delta_mean""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0140,0,3,degraded,healthy,4,"[""s2_delta_mean"", ""s13_slope"", ""s7_z_last"", ""s8_z_last""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0140,0,4,degraded,healthy,4,"[""s2_delta_mean"", ""s8_z_last"", ""s7_z_last"", ""s13_slope""]",s4_slope,0,0,False,False,0.0,0.0,False,1.0,0.0
nasa_fd001,u001_e0170,0,0,degraded,degraded,4,"[""s8_slope"", ""s13_slope"", ""s11_slope"", ""s4_slope""]",s11_slope,2,2,True,True,0.5,0.5,True,1.0,0.0
nasa_fd001,u001_e0170,0,1,degraded,degraded,4,"[""s8_slope"", ""s13_slope"", ""s11_slope"", ""s4_slope""]",s11_slope,2,2,True,True,0.5,0.5,True,1.0,0.0
