model,repeat,n_instances,FN,FP,c_fn,c_fp,relative_loss,relative_loss_per_instance
Logistic Regression,,100,2,6,1,1,8,0.08
Logistic Regression,,100,2,6,2,1,10,0.1
Logistic Regression,,100,2,6,5,1,16,0.16
Logistic Regression,,100,2,6,10,1,26,0.26
SVM-RBF,,100,3,5,1,1,8,0.08
SVM-RBF,,100,3,5,2,1,11,0.11
SVM-RBF,,100,3,5,5,1,20,0.2
SVM-RBF,,100,3,5,10,1,35,0.35
Random Forest,,100,3,4,1,1,7,0.07
Random Forest,,100,3,4,2,1,10,0.1
Random Forest,,100,3,4,5,1,19,0.19
Random Forest,,100,3,4,10,1,34,0.34
Retrieval-only memory,,100,2,12,1,1,14,0.14
Retrieval-only memory,,100,2,12,2,1,16,0.16
Retrieval-only memory,,100,2,12,5,1,22,0.22
Retrieval-only memory,,100,2,12,10,1,32,0.32
Prototype verifier (component),,100,2,7,1,1,9,0.09
Prototype verifier (component),,100,2,7,2,1,11,0.11
Prototype verifier (component),,100,2,7,5,1,17,0.17
Prototype verifier (component),,100,2,7,10,1,27,0.27
LLM raw diagnosis,0.0,100,3,38,1,1,41,0.41
LLM raw diagnosis,0.0,100,3,38,2,1,44,0.44
LLM raw diagnosis,0.0,100,3,38,5,1,53,0.53
LLM raw diagnosis,0.0,100,3,38,10,1,68,0.68
LLM raw diagnosis,1.0,100,4,33,1,1,37,0.37
LLM raw diagnosis,1.0,100,4,33,2,1,41,0.41
LLM raw diagnosis,1.0,100,4,33,5,1,53,0.53
LLM raw diagnosis,1.0,100,4,33,10,1,73,0.73
LLM raw diagnosis,2.0,100,3,34,1,1,37,0.37
LLM raw diagnosis,2.0,100,3,34,2,1,40,0.4
LLM raw diagnosis,2.0,100,3,34,5,1,49,0.49
LLM raw diagnosis,2.0,100,3,34,10,1,64,0.64
LLM raw diagnosis,3.0,100,2,37,1,1,39,0.39
LLM raw diagnosis,3.0,100,2,37,2,1,41,0.41
LLM raw diagnosis,3.0,100,2,37,5,1,47,0.47
LLM raw diagnosis,3.0,100,2,37,10,1,57,0.57
LLM raw diagnosis,4.0,100,2,35,1,1,37,0.37
LLM raw diagnosis,4.0,100,2,35,2,1,39,0.39
LLM raw diagnosis,4.0,100,2,35,5,1,45,0.45
LLM raw diagnosis,4.0,100,2,35,10,1,55,0.55
