dataset,instance_id,unit,group_id,window_order,window_start,window_end,rul_end,true_label,prediction,modal,agreement,confidence,self_trust,valid_traces,failed_traces,parse_success_rate,grounded_rate,unsupported_rate,mean_latency_s,input_tokens,output_tokens,cost_usd,llm_prediction,verifier_prediction,verifier_support,llm_label_support,verification_conflict,disposition,temporal_version,model,temperature,n_traces,memory_k
nasa_fd001,u001_e0150,1,1,1,101,150,42,healthy,degraded,degraded,1.0,0.4468181560399012,0.7234090780199507,5,0,1.0,1.0,0.0,3.881206635400304,5175,921,0.0035436,degraded,healthy,0.5531818439600987,0.4468181560399012,True,human_review,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u001_e0160,1,1,2,111,160,32,healthy,degraded,degraded,1.0,0.6925149593501714,0.8462574796750857,5,0,1.0,1.0,0.0,3.442926606399851,5180,953,0.0035968,degraded,degraded,0.6925149593501714,0.6925149593501714,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u001_e0170,1,1,3,121,170,22,degraded,degraded,degraded,1.0,0.8240442944634626,0.9120221472317314,5,0,1.0,1.0,0.0,3.322589641399828,5180,934,0.0035664,degraded,degraded,0.8240442944634626,0.8240442944634626,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u001_e0180,1,1,4,131,180,12,degraded,degraded,degraded,1.0,0.9273245965971536,0.9636622982985767,5,0,1.0,1.0,0.0,3.8409734376000415,5180,938,0.0035728,degraded,degraded,0.9273245965971536,0.9273245965971536,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u001_e0190,1,1,5,141,190,2,degraded,degraded,degraded,1.0,0.9844891829093936,0.9922445914546968,5,0,1.0,1.0,0.0,3.773303890398529,5180,902,0.0035152,degraded,degraded,0.9844891829093936,0.9844891829093936,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u005_e0220,5,5,1,171,220,49,healthy,degraded,degraded,1.0,0.705400326372066,0.8527001631860329,5,0,1.0,1.0,0.0,2.9632979955997145,5180,938,0.0035728,degraded,degraded,0.705400326372066,0.705400326372066,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u005_e0230,5,5,2,181,230,39,healthy,degraded,degraded,1.0,0.7646320783827426,0.8823160391913714,5,0,1.0,1.0,0.0,3.147238207400369,5180,952,0.0035952,degraded,degraded,0.7646320783827426,0.7646320783827426,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u005_e0240,5,5,3,191,240,29,degraded,degraded,degraded,1.0,0.7508425907069153,0.8754212953534577,5,0,1.0,1.0,0.0,3.010587098600081,5180,943,0.0035808,degraded,degraded,0.7508425907069153,0.7508425907069153,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u005_e0250,5,5,4,201,250,19,degraded,degraded,degraded,1.0,0.8769773079803964,0.9384886539901982,5,0,1.0,0.95,0.05,2.9052841587996228,5180,947,0.0035872,degraded,degraded,0.8769773079803964,0.8769773079803964,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u005_e0260,5,5,5,211,260,9,degraded,degraded,degraded,1.0,0.945931056669372,0.972965528334686,5,0,1.0,1.0,0.0,2.721943852400728,5180,888,0.0034928,degraded,degraded,0.945931056669372,0.945931056669372,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u011_e0190,11,11,1,141,190,50,healthy,degraded,degraded,0.6,0.3671871996496063,0.4835935998248031,5,0,1.0,1.0,0.0,3.0157598676007185,5170,942,0.0035752,degraded,healthy,0.6328128003503937,0.3671871996496063,True,human_review,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u011_e0200,11,11,2,151,200,40,healthy,degraded,degraded,1.0,0.5646430991149775,0.7823215495574887,5,0,1.0,1.0,0.0,3.457432794799388,5180,964,0.0036144,degraded,degraded,0.5646430991149775,0.5646430991149775,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u011_e0210,11,11,3,161,210,30,degraded,degraded,degraded,1.0,0.7936543604330646,0.8968271802165323,5,0,1.0,1.0,0.0,2.88834255339898,5180,890,0.003496,degraded,degraded,0.7936543604330646,0.7936543604330646,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u011_e0220,11,11,4,171,220,20,degraded,degraded,degraded,1.0,0.8844437968743692,0.9422218984371846,5,0,1.0,1.0,0.0,3.0558971045997168,5180,977,0.0036352,degraded,degraded,0.8844437968743692,0.8844437968743692,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
nasa_fd001,u011_e0230,11,11,5,181,230,10,degraded,degraded,degraded,1.0,0.9377259293928895,0.9688629646964447,5,0,1.0,1.0,0.0,3.200229064199084,5180,908,0.0035248000000000007,degraded,degraded,0.9377259293928895,0.9377259293928895,False,accepted,major_revision_v2_temporal_transition,gpt-4.1-mini-2025-04-14,0.7,5,3
