dataset,rank,feature,mean_abs_shap
synthetic,1,vibration_slope,0.21741620130260514
synthetic,2,vibration_delta_mean,0.21537513946237385
synthetic,3,current_slope,0.08908735820626014
synthetic,4,current_delta_mean,0.06507224544171007
synthetic,5,current_z_last,0.06234238333012451
synthetic,6,temperature_delta_mean,0.056135530958148896
synthetic,7,temperature_slope,0.056120256658384056
synthetic,8,vibration_z_last,0.021765030800943098
synthetic,9,temperature_z_last,0.002899440534905785
nasa_fd001,1,s11_slope,0.05484685870631695
nasa_fd001,2,s4_slope,0.044702367669326934
nasa_fd001,3,s11_delta_mean,0.04049378464448311
nasa_fd001,4,s12_delta_mean,0.031869697414167585
nasa_fd001,5,s21_delta_mean,0.03149843963959105
nasa_fd001,6,s12_slope,0.029322078102478676
nasa_fd001,7,s4_delta_mean,0.029271514090895404
nasa_fd001,8,s20_slope,0.02670040776395286
nasa_fd001,9,s21_slope,0.025630357295081146
nasa_fd001,10,s20_delta_mean,0.023825697169064165
nasa_fd001,11,s7_slope,0.02288854633196202
nasa_fd001,12,s7_delta_mean,0.022020748014892025
nasa_fd001,13,s15_slope,0.0210514498089954
nasa_fd001,14,s17_slope,0.016521519246966335
nasa_fd001,15,s15_delta_mean,0.01507876419196489
nasa_fd001,16,s2_slope,0.009103772017690236
nasa_fd001,17,s2_delta_mean,0.009014986042750759
nasa_fd001,18,s13_slope,0.007622185826566592
nasa_fd001,19,s17_delta_mean,0.006574259434587705
nasa_fd001,20,s13_delta_mean,0.006362250419107745
nasa_fd001,21,s3_delta_mean,0.006264728371784496
nasa_fd001,22,s9_slope,0.00589426100008411
nasa_fd001,23,s9_delta_mean,0.005590742061291163
nasa_fd001,24,s3_slope,0.005261123469024167
nasa_fd001,25,s14_delta_mean,0.004504278117383827
nasa_fd001,26,s14_slope,0.004173700797705965
nasa_fd001,27,s20_z_last,0.003656530357049776
nasa_fd001,28,s13_z_last,0.003605507702482463
nasa_fd001,29,s6_z_last,0.0029426826434404557
nasa_fd001,30,s9_z_last,0.0028617175656985823
nasa_fd001,31,s8_slope,0.002748496967591097
nasa_fd001,32,s12_z_last,0.002569839966960835
nasa_fd001,33,s6_slope,0.0023083154048144914
nasa_fd001,34,s17_z_last,0.002154277017074287
nasa_fd001,35,s7_z_last,0.0020560067047723078
nasa_fd001,36,s8_delta_mean,0.0019772182383967
nasa_fd001,37,s2_z_last,0.0019233190096799265
nasa_fd001,38,s15_z_last,0.0015522004163880398
nasa_fd001,39,s21_z_last,0.0014960986425299832
nasa_fd001,40,s4_z_last,0.0014829123560359822
nasa_fd001,41,s3_z_last,0.0014238298792633032
nasa_fd001,42,s11_z_last,0.001240545153022736
nasa_fd001,43,s8_z_last,0.0010247022101420819
nasa_fd001,44,s14_z_last,0.0009852710149427326
nasa_fd001,45,s6_delta_mean,0.0008212730385934188
