dataset,instance_id,true_label,rf_prediction,rf_correct,shap_top1_feature,shap_top3_features,shap_top5_features,shap_top5_abs_values
synthetic,winding_short_001_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.21791385396945898, 0.21460949140717797, 0.12129758731230518, 0.0919042598127712, 0.05228210569800925]"
synthetic,winding_short_001_w480,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.1817065787106116, 0.17537013773826096, 0.149513680382254, 0.13883386737717593, 0.05817115116232099]"
synthetic,winding_short_003_w360,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.18111782896326772, 0.1750715911480323, 0.14950999553024666, 0.13791089510783108, 0.05904470946206055]"
synthetic,winding_short_003_w480,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.1817065787106116, 0.17537013773826096, 0.149513680382254, 0.13883386737717593, 0.05817115116232099]"
synthetic,winding_short_005_w300,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.18656206672408945, 0.17929539875777678, 0.11969260205124789, 0.1119009691006698, 0.08415129023439438]"
synthetic,winding_short_005_w360,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.18163412356823755, 0.1752225045714818, 0.14972953886568022, 0.13926367871341333, 0.05831698638719359]"
synthetic,winding_short_005_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.2166777108910129, 0.21464183715766177, 0.12161032243300023, 0.09209766912401736, 0.05160056184919611]"
synthetic,winding_short_018_w360,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.17898944068718528, 0.17487225712423027, 0.1489136805072298, 0.13905867182349438, 0.05810284881508956]"
synthetic,winding_short_025_w300,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""temperature_slope"", ""temperature_delta_mean"", ""current_slope""]","[0.1823224680554918, 0.17453561742850016, 0.12435172897875212, 0.11621469566259945, 0.08452006891657814]"
synthetic,winding_short_025_w420,winding_short,winding_short,True,vibration_delta_mean,"[""vibration_delta_mean"", ""vibration_slope"", ""current_slope""]","[""vibration_delta_mean"", ""vibration_slope"", ""current_slope"", ""current_delta_mean"", ""current_z_last""]","[0.21814333268717298, 0.21460949140717797, 0.12128925283632365, 0.09193172450494178, 0.05228210569800925]"
