dataset,repeat,n_traces,n_instances,accuracy,macro_f1,mean_agreement,mean_self_trust,mean_grounded_rate,mean_unsupported_rate,parse_success_rate,mean_latency_s,conflict_rate,coverage,selective_accuracy,error_capture_rate,false_escalation_rate
nasa_fd001,0,3,24,0.6666666666666666,0.625,0.8055555555555555,0.6906921665399564,0.9895833333333334,0.010416666666666666,1.0,3.4845890292222568,0.375,0.625,1.0,1.0,0.0625
nasa_fd001,0,5,24,0.6666666666666666,0.625,0.7666666666666666,0.693172396141664,0.99375,0.006250000000000001,1.0,3.3461739427083557,0.375,0.625,1.0,1.0,0.0625
nasa_fd001,0,10,24,0.7083333333333334,0.6606060606060606,0.7916666666666666,0.7062582441824539,0.9940972222222223,0.005902777777777778,1.0,3.221610140241694,0.3333333333333333,0.6666666666666666,1.0,1.0,0.058823529411764705
nasa_fd001,1,3,24,0.6666666666666666,0.625,0.861111111111111,0.727617117065518,0.9965277777777777,0.003472222222222222,1.0,3.248752010180548,0.375,0.625,1.0,1.0,0.0625
nasa_fd001,1,5,24,0.6666666666666666,0.625,0.8333333333333334,0.7249539074102799,0.99375,0.006250000000000001,1.0,3.2313858217499956,0.375,0.625,1.0,1.0,0.0625
nasa_fd001,1,10,24,0.6666666666666666,0.625,0.7875,0.6908115615099626,0.9916666666666666,0.008333333333333333,1.0,3.2809863891791484,0.375,0.625,1.0,1.0,0.0625
nasa_fd001,2,3,24,0.75,0.6974789915966386,0.861111111111111,0.7581448873889767,0.9895833333333334,0.010416666666666666,1.0,3.360732412541615,0.2916666666666667,0.7083333333333334,1.0,1.0,0.05555555555555555
nasa_fd001,2,5,24,0.7083333333333334,0.6606060606060606,0.8249999999999998,0.7258333397086503,0.99375,0.006250000000000001,1.0,3.3048908108083275,0.3333333333333333,0.6666666666666666,1.0,1.0,0.058823529411764705
nasa_fd001,2,10,24,0.75,0.6974789915966386,0.75,0.7025893318334212,0.9958333333333332,0.004166666666666667,1.0,3.287082165916695,0.2916666666666667,0.7083333333333334,1.0,1.0,0.05555555555555555
synthetic,0,3,24,1.0,1.0,1.0,0.7304054130345103,0.9953703703703703,0.004629629629629629,1.0,3.0343658078333973,0.25,0.75,1.0,,0.25
synthetic,0,5,24,1.0,1.0,1.0,0.7304054130345103,0.9972222222222222,0.002777777777777778,1.0,2.9861592367750363,0.25,0.75,1.0,,0.25
synthetic,0,10,24,1.0,1.0,1.0,0.7304054130345103,0.9986111111111112,0.001388888888888889,1.0,2.9822461746750375,0.25,0.75,1.0,,0.25
synthetic,1,3,24,1.0,1.0,1.0,0.7304054130345103,1.0,0.0,1.0,3.054143521152772,0.25,0.75,1.0,,0.25
synthetic,1,5,24,1.0,1.0,1.0,0.7304054130345103,1.0,0.0,1.0,3.0811988498250074,0.25,0.75,1.0,,0.25
synthetic,1,10,24,1.0,1.0,1.0,0.7304054130345103,0.9986111111111112,0.001388888888888889,1.0,3.011992238116697,0.25,0.75,1.0,,0.25
synthetic,2,3,24,1.0,1.0,1.0,0.7304054130345103,1.0,0.0,1.0,3.141509883611169,0.25,0.75,1.0,,0.25
synthetic,2,5,24,1.0,1.0,1.0,0.7304054130345103,0.9972222222222222,0.002777777777777778,1.0,3.167521342891746,0.25,0.75,1.0,,0.25
synthetic,2,10,24,1.0,1.0,1.0,0.7304054130345103,0.9975694444444444,0.002430555555555555,1.0,3.077591472429235,0.25,0.75,1.0,,0.25
